SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1618796979.925765, , , , 0.023018, -0.018747, -0.021197, , , 
1618796980.0193949, , , , -0.050381, -0.056355, -0.025471, , , 
1618796980.087966, , , , 0.030926, 0.059208, -0.070628, , , 
1618796980.125414, , , , 0.005793, -0.060981, -0.087391, , , 
1618796980.197303, , , , -0.046379, -0.285156, -0.187504, , , 
1618796980.275214, , , , 0.002596, -0.168959, -0.091676, , , 
1618796980.342881, , , , 0.100344, 0.025305, -0.049133, , , 
1618796980.374833, , , , 0.053259, 0.338153, -0.095464, , , 
1618796980.4435, , , , 0.204173, -0.101004, 0.047549, , , 
1618796980.4751182, , , , 0.089264, -0.231094, 0.074913, , , 
1618796980.534217, , , , 0.157426, -0.109802, 0.071133, , , 
1618796980.598607, , , , 0.245093, -0.282945, 0.014947, , , 
1618796980.675072, , , , 0.076601, -0.198015, 0.096327, , , 
1618796980.74316, , , , 0.029382, -0.086094, 0.058907, , , 
1618796980.825015, , , , 0.061933, -0.145848, -0.003747, , , 
1618796980.893713, , , , 0.212469, 0.033132, 0.055376, , , 
1618796980.9752321, , , , 0.089358, -0.013735, 0.008685, , , 
1618796981.0446758, , , , -0.127906, 0.043784, 0.055271, , , 
1618796981.125056, , , , -0.067377, 0.113303, 0.080536, , , 
1618796981.19317, , , , 0.191084, 0.081666, 0.094350, , , 
1618796981.2751, , , , 0.075040, 0.101216, 0.171868, , , 
1618796981.3438802, , , , 0.069856, 0.190654, 0.196276, , , 
1618796981.425112, , , , 0.012072, -0.117902, 0.062553, , , 
1618796981.5087628, , , , 0.051315, 0.083752, 0.076146, , , 
1618796981.579108, , , , -0.048037, 0.066690, 0.073208, , , 
1618796981.6496491, , , , 0.020144, 0.031284, 0.040887, , , 
1618796981.725281, , , , 0.056095, 0.007444, 0.048484, , , 
1618796981.793329, , , , 0.080902, -0.010277, 0.009991, , , 
1618796981.9363298, , , , -0.022159, -0.156564, -0.058217, , , 
1618796982.0083818, , , , -0.089002, -0.230131, -0.138333, , , 
1618796982.079914, , , , -0.038185, -0.213884, -0.129443, , , 
1618796982.1539102, , , , 0.089107, -0.170708, -0.088874, , , 
1618796982.2248259, , , , 0.028500, -0.211643, -0.124579, , , 
1618796982.294167, , , , 0.071348, -0.004883, -0.101441, , , 
1618796982.375005, , , , -0.000603, 0.009716, -0.107455, , , 
1618796982.4451861, , , , -0.067284, -0.107357, -0.089359, , , 
1618796982.524996, , , , -0.158897, 0.015786, -0.122543, , , 
1618796982.594774, , , , -0.123536, -0.030920, -0.076585, , , 
1618796982.6750278, , , , 0.065597, -0.052932, -0.024154, , , 
1618796982.7537909, , , , -0.067619, 0.006078, -0.048554, , , 
1618796982.8256168, , , , 0.055065, -0.062668, 0.033743, , , 
1618796982.909044, , , , 0.123120, 0.010417, 0.052955, , , 
1618796982.978576, , , , 0.162009, 0.061885, 0.047813, , , 
1618796983.045145, , , , 0.111607, -0.044848, 0.071013, , , 
1618796983.12497, , , , 0.116241, -0.039382, 0.007119, , , 
1618796983.194443, , , , 0.084891, 0.058098, -0.094062, , , 
1618796983.275733, , , , 0.307879, -0.211216, -0.019189, , , 
1618796983.3469648, , , , 0.110932, -0.153988, -0.118631, , , 
1618796983.425092, , , , -0.056273, 0.031866, -0.119886, , , 
1618796983.496128, , , , -0.021726, -0.050645, 0.002878, , , 
1618796983.575427, , , , 0.004765, -0.081499, 0.014134, , , 
1618796983.646301, , , , -0.063426, 0.022872, -0.014630, , , 
1618796983.724944, , , , -0.168002, 0.017096, 0.014298, , , 
1618796983.7949271, , , , -0.317318, 0.129527, 0.002421, , , 
1618796983.824709, , , , -0.293563, 0.156665, 0.016277, , , 
1618796983.885721, , , , -0.215637, 0.129462, 0.008689, , , 
1618796983.941782, , , , -0.224820, 0.101326, 0.010984, , , 
1618796983.974813, , , , -0.171052, 0.079452, 0.015465, , , 
1618796984.065096, , , , -0.061298, 0.071327, 0.002314, , , 
1618796984.13862, , , , -0.028693, 0.162633, -0.003257, , , 
1618796984.203496, , , , -0.058253, 0.100657, 0.004922, , , 
1618796984.2764769, , , , -0.068021, 0.013551, 0.037710, , , 
1618796984.3551412, , , , -0.105203, 0.073820, 0.066590, , , 
1618796984.4264, , , , -0.233619, 0.222846, 0.041364, , , 
1618796984.498301, , , , -0.166999, 0.081606, 0.092627, , , 
1618796984.5758119, , , , -0.091851, 0.133990, 0.078795, , , 
1618796984.667192, , , , -0.033511, 0.124848, 0.073104, , , 
1618796984.740625, , , , 0.111936, 0.122662, 0.115037, , , 
1618796984.775375, , , , 0.050512, 0.088270, 0.121850, , , 
1618796984.8446321, , , , -0.008994, 0.072664, 0.085089, , , 
1618796984.9258928, , , , 0.045082, 0.124983, 0.082895, , , 
1618796985.0004048, , , , 0.053349, -0.123105, 0.093179, , , 
1618796985.0757189, , , , 0.023183, 0.070163, 0.026727, , , 
1618796985.147502, , , , 0.032441, 0.040278, -0.017866, , , 
1618796985.225107, , , , -0.072344, 0.020049, -0.031471, , , 
1618796985.298347, , , , -0.029991, 0.012990, -0.037460, , , 
