SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1618796880.5406508, , , , -0.142519, 0.101152, 0.093453, , , 
1618796880.6140342, , , , -0.125140, 0.080319, 0.143587, , , 
1618796880.690829, , , , -0.158467, 0.170996, 0.094117, , , 
1618796880.761224, , , , -0.093311, 0.111294, 0.122044, , , 
1618796880.840826, , , , -0.116229, 0.144157, 0.143776, , , 
1618796880.915318, , , , -0.068332, 0.073755, 0.129297, , , 
1618796880.9897962, , , , -0.180005, 0.081076, 0.154165, , , 
1618796881.063459, , , , -0.138545, 0.094081, 0.055176, , , 
1618796881.1408339, , , , -0.016746, -0.018092, 0.047770, , , 
1618796881.21489, , , , -0.105851, -0.051495, 0.111272, , , 
1618796881.289762, , , , -0.031050, -0.175694, 0.024613, , , 
1618796881.364409, , , , -0.245043, -0.045765, 0.011714, , , 
1618796881.440825, , , , -0.150256, -0.095029, 0.027292, , , 
1618796881.514622, , , , -0.081154, -0.110776, 0.001368, , , 
1618796881.589909, , , , -0.067741, -0.124838, -0.002606, , , 
1618796881.656091, , , , 0.022043, -0.129768, -0.012041, , , 
1618796881.690534, , , , -0.034349, -0.077624, -0.023732, , , 
1618796881.761901, , , , 0.042916, -0.040611, -0.041064, , , 
1618796881.840819, , , , 0.042398, 0.035296, -0.098326, , , 
1618796881.914758, , , , 0.111128, -0.159348, -0.091033, , , 
1618796881.990055, , , , 0.107750, -0.097157, -0.109071, , , 
1618796882.05447, , , , -0.071361, -0.150822, -0.113667, , , 
1618796882.090666, , , , 0.006879, -0.162755, -0.156395, , , 
1618796882.161974, , , , -0.016548, -0.216872, -0.124543, , , 
1618796882.240827, , , , 0.084031, -0.253224, -0.111858, , , 
1618796882.314722, , , , 0.085582, -0.205222, -0.128412, , , 
1618796882.389813, , , , 0.144400, -0.214409, -0.079919, , , 
1618796882.464168, , , , 0.287769, -0.163359, -0.081728, , , 
1618796882.540904, , , , 0.166549, -0.048638, -0.103531, , , 
1618796882.615662, , , , 0.188700, -0.116430, -0.042750, , , 
1618796882.690834, , , , 0.182966, 0.066083, -0.012839, , , 
1618796882.758038, , , , 0.139855, 0.097373, 0.028484, , , 
1618796882.790152, , , , 0.156653, 0.109732, 0.008548, , , 
1618796882.854415, , , , 0.244519, -0.006216, 0.028179, , , 
1618796882.919905, , , , 0.230477, -0.010202, 0.053667, , , 
1618796882.990394, , , , 0.132252, -0.038771, -0.033644, , , 
1618796883.054844, , , , 0.061152, -0.063298, -0.016659, , , 
1618796883.09077, , , , 0.148464, -0.057962, -0.037153, , , 
1618796883.161851, , , , 0.139122, -0.097584, -0.046238, , , 
1618796883.240645, , , , 0.093189, -0.063324, -0.078488, , , 
1618796883.315421, , , , 0.107939, -0.083975, -0.038580, , , 
1618796883.3899999, , , , 0.009190, 0.001689, -0.025956, , , 
1618796883.455106, , , , -0.028091, 0.042450, -0.001387, , , 
1618796883.490354, , , , 0.009621, 0.061996, 0.002428, , , 
1618796883.562007, , , , -0.129759, 0.140609, 0.002738, , , 
1618796883.640833, , , , -0.203375, 0.142028, 0.021983, , , 
1618796883.7152429, , , , -0.157327, 0.212589, 0.025788, , , 
1618796883.7900882, , , , -0.317005, 0.255492, 0.008488, , , 
1618796883.855201, , , , -0.081319, 0.259485, 0.030159, , , 
1618796883.890717, , , , -0.061223, 0.265354, 0.055362, , , 
1618796883.962419, , , , -0.089656, 0.179086, 0.058704, , , 
1618796884.040848, , , , -0.130098, 0.171779, 0.023565, , , 
1618796884.115775, , , , -0.126807, -0.061664, 0.065879, , , 
1618796884.18995, , , , -0.150185, -0.059100, 0.011062, , , 
1618796884.258729, , , , -0.116506, -0.033214, -0.015361, , , 
1618796884.289997, , , , -0.025131, 0.020366, -0.005502, , , 
1618796884.357835, , , , -0.160470, -0.017206, 0.033162, , , 
1618796884.390193, , , , -0.078190, -0.067800, 0.013721, , , 
1618796884.456924, , , , -0.102642, -0.053458, 0.072437, , , 
1618796884.490372, , , , -0.102238, -0.042872, 0.050972, , , 
1618796884.5619822, , , , -0.162666, -0.042764, 0.108930, , , 
1618796884.640408, , , , -0.024102, -0.080255, 0.077051, , , 
1618796884.7084641, , , , 0.001097, -0.109990, -0.005009, , , 
1618796884.740172, , , , -0.018490, -0.115061, 0.018960, , , 
1618796884.805067, , , , -0.225584, -0.037572, -0.072020, , , 
1618796884.871241, , , , -0.076938, -0.098785, -0.059726, , , 
1618796884.940981, , , , -0.030240, -0.079512, -0.038237, , , 
1618796885.0068889, , , , -0.003851, -0.076658, -0.059251, , , 
1618796885.0403929, , , , 0.072423, -0.036020, -0.041123, , , 
1618796885.106477, , , , 0.043962, -0.016297, -0.057457, , , 
1618796885.1404738, , , , 0.084906, -0.072481, -0.051894, , , 
1618796885.213368, , , , 0.006866, -0.049546, -0.056070, , , 
1618796885.293192, , , , 0.044276, -0.043024, -0.091088, , , 
1618796885.370389, , , , 0.224021, -0.091318, -0.103497, , , 
1618796885.459147, , , , 0.272879, -0.026851, -0.111185, , , 
1618796885.542368, , , , 0.199596, -0.086636, -0.092230, , , 
1618796885.616084, , , , 0.160763, -0.105054, -0.119197, , , 
1618796885.69083, , , , 0.075451, -0.230716, -0.106975, , , 
1618796885.766365, , , , -0.000369, -0.253004, -0.107630, , , 
1618796885.840045, , , , 0.271046, -0.201988, -0.125080, , , 
1618796885.9066072, , , , 0.021494, 0.018306, -0.225245, , , 
1618796885.940398, , , , 0.137517, -0.025294, -0.236254, , , 
1618796886.013428, , , , 0.290900, 0.004227, -0.285072, , , 
1618796886.091992, , , , 0.424345, -0.107810, -0.289788, , , 
1618796886.161755, , , , 0.391024, -0.085424, -0.245188, , , 
1618796886.248214, , , , 0.153035, -0.104343, -0.145512, , , 
1618796886.322132, , , , 0.104769, -0.045355, -0.054282, , , 
1618796886.399622, , , , 0.115834, -0.083876, -0.052391, , , 
1618796886.477004, , , , 0.115380, -0.141894, -0.000014, , , 
1618796886.559723, , , , 0.101573, -0.084601, -0.041412, , , 
1618796886.641271, , , , 0.063791, -0.070317, -0.076212, , , 
1618796886.713162, , , , 0.082071, -0.136979, -0.072644, , , 
1618796886.789909, , , , 0.101037, -0.185980, -0.059705, , , 
1618796886.86654, , , , -0.115614, -0.082577, 0.036975, , , 
1618796886.9445891, , , , -0.255534, 0.030512, 0.091691, , , 
1618796887.030112, , , , -0.213653, 0.030583, 0.201206, , , 
1618796887.1137881, , , , -0.575782, 0.626993, 0.212871, , , 
1618796887.191145, , , , -0.226356, 0.085898, 0.375928, , , 
1618796887.267792, , , , -0.369195, 0.184041, 0.245253, , , 
1618796887.345911, , , , -0.286818, 0.071862, 0.185071, , , 
1618796887.415851, , , , -0.289572, -0.029863, 0.188064, , , 
1618796887.492999, , , , -0.187112, 0.070330, 0.099071, , , 
1618796887.578714, , , , -0.182230, -0.008605, 0.067401, , , 
1618796887.6640449, , , , -0.111583, 0.075492, 0.069839, , , 
1618796887.7417068, , , , -0.041534, 0.095086, 0.095736, , , 
1618796887.818913, , , , -0.134916, 0.047543, 0.066665, , , 
1618796887.8961859, , , , -0.039338, -0.037408, 0.122739, , , 
1618796887.9662662, , , , 0.309910, -0.050337, 0.110124, , , 
1618796888.04017, , , , -0.009830, -0.020268, 0.115151, , , 
1618796888.107595, , , , 0.022272, -0.059795, 0.013224, , , 
1618796888.1446471, , , , 0.072364, 0.017647, 0.087984, , , 
1618796888.225937, , , , 0.100420, 0.058153, 0.053841, , , 
1618796888.3033772, , , , -0.044220, 0.120713, 0.016526, , , 
1618796888.3809981, , , , 0.065857, 0.100737, 0.012662, , , 
1618796888.45779, , , , 0.297565, 0.076457, -0.021703, , , 
1618796888.490347, , , , 0.218481, 0.046617, -0.003600, , , 
1618796888.55669, , , , 0.006585, -0.004423, -0.050803, , , 
1618796888.624263, , , , -0.037973, -0.146768, -0.008643, , , 
1618796888.691664, , , , 0.112572, -0.095283, -0.059025, , , 
1618796888.75844, , , , 0.128383, -0.095577, -0.064717, , , 
1618796888.805748, , , , 0.041211, 0.064235, -0.141083, , , 
1618796888.87198, , , , 0.136285, -0.101255, -0.095559, , , 
1618796888.962786, , , , 0.093958, -0.140095, -0.081916, , , 
1618796889.044846, , , , 0.060794, -0.085308, -0.165470, , , 
1618796889.1232018, , , , 0.144205, -0.185047, -0.141402, , , 
1618796889.199136, , , , 0.259290, -0.139954, -0.085469, , , 
1618796889.27527, , , , 0.108870, 0.087636, -0.170312, , , 
1618796889.350663, , , , 0.336281, -0.110598, -0.180551, , , 
1618796889.426554, , , , -0.080996, 0.036406, -0.064952, , , 
1618796889.500751, , , , -0.034168, 0.073178, 0.005293, , , 
1618796889.56974, , , , 0.067641, -0.016860, 0.029304, , , 
1618796889.640121, , , , 0.010014, -0.044864, 0.009615, , , 
1618796889.7097359, , , , 0.150075, -0.090052, -0.025338, , , 
1618796889.7400599, , , , 0.081911, -0.091001, -0.017425, , , 
1618796889.806509, , , , 0.132601, -0.189782, -0.022213, , , 
1618796889.8751059, , , , 0.002130, -0.303523, 0.019390, , , 
1618796889.947054, , , , -0.196244, -0.115678, -0.019701, , , 
1618796890.015823, , , , -0.275782, -0.095322, -0.010142, , , 
1618796890.0907578, , , , -0.371282, -0.146261, 0.008609, , , 
1618796890.158836, , , , -0.123872, -0.245464, 0.036323, , , 
1618796890.19011, , , , -0.174860, -0.157892, -0.009803, , , 
1618796890.257395, , , , -0.215541, -0.128347, -0.011686, , , 
1618796890.326007, , , , -0.109874, -0.108496, -0.027705, , , 
1618796890.394562, , , , -0.094747, -0.064875, -0.024273, , , 
1618796890.462957, , , , -0.228297, 0.126024, -0.053020, , , 
1618796890.540852, , , , -0.059760, -0.006236, -0.035008, , , 
1618796890.60986, , , , -0.146934, 0.118990, -0.021911, , , 
1618796890.640306, , , , -0.169125, 0.044179, 0.021357, , , 
1618796890.707656, , , , -0.299928, 0.161112, 0.023628, , , 
1618796890.7403312, , , , -0.183648, 0.270607, 0.089832, , , 
1618796890.808192, , , , -0.033572, 0.159506, -0.061835, , , 
1618796890.840063, , , , 0.285976, -0.121199, 0.095625, , , 
1618796890.908453, , , , -0.191630, 0.308176, -0.038404, , , 
1618796890.940131, , , , -0.040072, 0.143676, 0.010323, , , 
1618796891.008237, , , , -0.242529, 0.163434, 0.083107, , , 
1618796891.080528, , , , -0.056876, 0.027198, 0.162118, , , 
1618796891.1469378, , , , -0.084156, 0.019922, 0.130687, , , 
1618796891.201384, , , , -0.128248, -0.019541, 0.295404, , , 
1618796891.279509, , , , -0.053997, 0.114897, 0.175277, , , 
1618796891.358794, , , , 0.074044, 0.072482, 0.104654, , , 
1618796891.4403338, , , , 0.017851, 0.024847, 0.063952, , , 
1618796891.507766, , , , 0.018761, -0.044047, 0.052644, , , 
1618796891.540337, , , , -0.064127, 0.044487, 0.011258, , , 
1618796891.614831, , , , 0.036242, 0.120394, -0.032517, , , 
1618796891.6898499, , , , 0.093275, 0.048756, -0.015951, , , 
1618796891.756957, , , , 0.140629, 0.074479, -0.022417, , , 
1618796891.822874, , , , 0.245795, 0.070601, -0.013220, , , 
1618796891.892386, , , , 0.041252, 0.010427, -0.003459, , , 
1618796891.961217, , , , 0.129559, -0.072733, -0.011739, , , 
1618796891.989911, , , , 0.094561, -0.082899, -0.031485, , , 
1618796892.058857, , , , 0.060782, -0.062972, -0.028672, , , 
1618796892.090169, , , , 0.114318, -0.110001, -0.047538, , , 
1618796892.158761, , , , 0.065095, -0.211074, -0.029296, , , 
1618796892.190082, , , , -0.003094, -0.019746, -0.098309, , , 
1618796892.258926, , , , 0.231192, -0.172345, -0.071746, , , 
1618796892.317194, , , , 0.063236, -0.109800, -0.110529, , , 
1618796892.400415, , , , 0.040105, -0.110403, -0.182089, , , 
1618796892.471396, , , , 0.112828, -0.178445, -0.180213, , , 
1618796892.542316, , , , 0.224403, -0.095095, -0.142661, , , 
1618796892.6157908, , , , 0.220525, -0.082594, -0.122023, , , 
1618796892.6920161, , , , 0.228742, -0.015121, -0.099423, , , 
1618796892.760203, , , , 0.158581, -0.076013, -0.091740, , , 
1618796892.790091, , , , 0.135152, 0.039405, -0.122364, , , 
1618796892.857691, , , , 0.294835, -0.218607, -0.078109, , , 
1618796892.9146872, , , , 0.189937, -0.051749, -0.060877, , , 
1618796892.9955091, , , , 0.051991, -0.106890, -0.098845, , , 
1618796893.0656881, , , , 0.019732, -0.138560, -0.026048, , , 
1618796893.1435661, , , , -0.042241, -0.090963, 0.028092, , , 
1618796893.222431, , , , -0.115432, -0.036914, 0.039427, , , 
1618796893.298524, , , , -0.136103, -0.066311, 0.063724, , , 
1618796893.356374, , , , -0.377257, 0.093630, 0.039604, , , 
1618796893.395304, , , , -0.221900, 0.083059, 0.055628, , , 
1618796893.465553, , , , -0.039162, -0.024983, 0.051654, , , 
1618796893.539928, , , , -0.190304, 0.013991, -0.011505, , , 
1618796893.6094809, , , , -0.150595, 0.034662, 0.007347, , , 
1618796893.639923, , , , -0.130542, 0.000662, 0.007661, , , 
1618796893.7092872, , , , -0.223021, 0.037406, -0.010506, , , 
1618796893.740186, , , , -0.241950, 0.040343, -0.003063, , , 
1618796893.808751, , , , 0.017408, -0.055579, 0.153182, , , 
1618796893.840209, , , , 0.133126, -0.028514, 0.121672, , , 
1618796893.908376, , , , -0.152585, -0.019365, 0.117036, , , 
1618796893.940141, , , , -0.163568, 0.109553, 0.039680, , , 
1618796894.0089579, , , , 0.117971, -0.175618, 0.130423, , , 
1618796894.0398378, , , , -0.037249, -0.013158, 0.078923, , , 
1618796894.109981, , , , 0.118359, -0.035212, 0.148460, , , 
