SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1618797109.293369, , , , 0.062611, -0.069454, -0.049507, , , 
1618797109.372221, , , , -0.069923, 0.170052, -0.051344, , , 
1618797109.44378, , , , 0.018620, -0.052559, -0.017757, , , 
1618797109.512574, , , , 0.052424, 0.091469, -0.018503, , , 
1618797109.593967, , , , -0.079454, 0.077964, -0.004957, , , 
1618797109.6658869, , , , 0.118886, -0.128204, -0.193785, , , 
1618797109.743195, , , , 0.091369, -0.134087, -0.134162, , , 
1618797109.815211, , , , 0.077612, -0.198616, -0.049901, , , 
1618797109.893585, , , , 0.092031, 0.185189, -0.000536, , , 
1618797109.961049, , , , 0.128128, -0.332865, 0.108707, , , 
1618797110.0439692, , , , -0.298239, 0.084047, -0.013294, , , 
1618797110.114853, , , , -0.438081, 0.143482, 0.012436, , , 
1618797110.193969, , , , -0.145157, -0.147273, 0.094010, , , 
1618797110.263153, , , , -0.108251, -0.057135, 0.032152, , , 
1618797110.3430738, , , , 0.031525, -0.095316, 0.037405, , , 
1618797110.412039, , , , -0.025411, -0.199765, 0.083829, , , 
1618797110.493361, , , , -0.062366, -0.101709, 0.050866, , , 
1618797110.562361, , , , 0.047516, -0.009517, 0.041030, , , 
1618797110.644105, , , , 0.069606, -0.000589, 0.046686, , , 
1618797110.713999, , , , 0.082935, 0.036246, 0.050170, , , 
1618797110.793983, , , , 0.074432, 0.078637, 0.051338, , , 
1618797110.863714, , , , 0.064378, 0.113364, 0.054120, , , 
1618797110.9433188, , , , 0.113769, 0.046286, 0.103254, , , 
1618797111.013849, , , , 0.067164, 0.107718, 0.091935, , , 
1618797111.093041, , , , 0.022577, 0.197910, -0.046011, , , 
1618797111.162477, , , , 0.097494, 0.084906, -0.031776, , , 
1618797111.243995, , , , -0.023090, 0.062411, -0.077517, , , 
1618797111.3136458, , , , 0.052649, -0.019476, -0.044985, , , 
1618797111.393971, , , , 0.026218, 0.062840, -0.075725, , , 
1618797111.464641, , , , 0.075023, 0.082555, -0.080352, , , 
1618797111.543354, , , , 0.094683, 0.050567, -0.083811, , , 
1618797111.614825, , , , 0.357968, -0.561949, 0.185515, , , 
1618797111.6933498, , , , -0.055063, -0.221263, -0.082394, , , 
1618797111.763331, , , , 0.017309, -0.002917, 0.046450, , , 
1618797111.843986, , , , 0.057076, -0.068807, -0.038878, , , 
1618797111.913515, , , , 0.054329, -0.035056, -0.018044, , , 
1618797111.99398, , , , 0.467477, -0.040443, 0.035434, , , 
1618797112.0634232, , , , 0.060111, -0.056834, -0.009366, , , 
1618797112.143295, , , , 0.172144, 0.218293, -0.154596, , , 
1618797112.213331, , , , 0.260338, -0.044359, -0.022825, , , 
1618797112.293264, , , , 0.128784, -0.017359, -0.096097, , , 
1618797112.363415, , , , 0.218072, -0.361222, -0.094340, , , 
1618797112.443994, , , , -0.061233, -0.093834, -0.131512, , , 
