SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1618796453.338327, , , , -0.021928, 0.031233, -0.008425, , , 
1618796453.418134, , , , 0.013578, -0.021265, -0.007566, , , 
1618796453.49054, , , , 0.038757, -0.039077, 0.005284, , , 
1618796453.559228, , , , -0.002203, -0.000359, -0.012530, , , 
1618796453.630667, , , , -0.006485, -0.053532, -0.003829, , , 
1618796453.692237, , , , -0.041046, 0.093096, -0.038322, , , 
1618796453.729014, , , , -0.053295, 0.142334, -0.043867, , , 
1618796453.7860088, , , , -0.004938, 0.028719, -0.030391, , , 
1618796453.829164, , , , -0.067465, 0.176848, -0.046083, , , 
1618796453.8971028, , , , -0.172882, 0.024529, -0.139054, , , 
1618796453.979144, , , , -0.007589, 0.174074, -0.239640, , , 
1618796454.047642, , , , -0.145237, 0.001601, -0.193618, , , 
1618796454.1290731, , , , -0.185747, 0.002611, -0.168224, , , 
1618796454.19788, , , , -0.065308, 0.041600, -0.012262, , , 
1618796454.278541, , , , -0.172784, 0.127919, 0.025601, , , 
1618796454.3476439, , , , -0.138868, 0.067618, 0.081487, , , 
1618796454.428716, , , , -0.128416, -0.024057, 0.052986, , , 
1618796454.497011, , , , -0.039936, -0.000711, 0.017377, , , 
1618796454.578265, , , , -0.087964, -0.066850, 0.008845, , , 
1618796454.6470919, , , , -0.092991, -0.029438, 0.007977, , , 
1618796454.7289782, , , , 0.007316, -0.019989, 0.010553, , , 
1618796454.7981439, , , , 0.038456, -0.008408, 0.015900, , , 
1618796454.828432, , , , 0.021949, 0.006615, 0.025266, , , 
1618796454.893935, , , , 0.102135, -0.020279, 0.012775, , , 
1618796454.9288769, , , , -0.010967, 0.003138, -0.008567, , , 
1618796454.989688, , , , 0.075350, -0.004924, -0.007893, , , 
1618796455.028283, , , , 0.111271, -0.080258, 0.027122, , , 
1618796455.089175, , , , 0.094990, -0.052675, -0.004346, , , 
1618796455.129127, , , , 0.096405, -0.039742, -0.020376, , , 
1618796455.195637, , , , -0.052481, -0.117008, -0.027316, , , 
1618796455.228215, , , , 0.064335, -0.031489, -0.066918, , , 
1618796455.2971559, , , , 0.025756, -0.066882, -0.007763, , , 
1618796455.37845, , , , 0.061386, -0.068638, -0.002906, , , 
1618796455.447571, , , , -0.064779, 0.039489, -0.042590, , , 
1618796455.528938, , , , 0.032847, -0.054628, 0.006687, , , 
1618796455.597342, , , , 0.102373, -0.045168, -0.035231, , , 
1618796455.628252, , , , 0.318597, -0.022379, -0.019536, , , 
1618796455.687557, , , , 0.078370, -0.013961, -0.033259, , , 
1618796455.747546, , , , 0.215620, 0.040605, -0.022445, , , 
1618796455.778347, , , , 0.233064, -0.057031, -0.003075, , , 
1618796455.8397322, , , , 0.053902, 0.048754, -0.034346, , , 
1618796455.878697, , , , 0.114516, 0.054667, -0.023496, , , 
1618796455.947166, , , , 0.051625, -0.024107, -0.030151, , , 
1618796456.028893, , , , -0.016247, -0.014254, -0.045914, , , 
1618796456.098318, , , , 0.106594, 0.010713, -0.060919, , , 
1618796456.1782131, , , , 0.174830, -0.116609, -0.036642, , , 
1618796456.2468371, , , , 0.100487, -0.072788, -0.058297, , , 
1618796456.278362, , , , 0.098156, -0.057959, -0.037282, , , 
1618796456.337315, , , , 0.121409, -0.072098, -0.045881, , , 
1618796456.39822, , , , 0.074163, 0.025965, -0.046185, , , 
1618796456.428362, , , , 0.066394, -0.194498, 0.002289, , , 
1618796456.488311, , , , 0.077633, 0.000694, -0.059196, , , 
1618796456.54917, , , , 0.210686, -0.025988, 0.028449, , , 
1618796456.578247, , , , 0.036410, -0.003458, -0.051007, , , 
1618796456.637475, , , , 0.174004, -0.083008, 0.014919, , , 
1618796456.698813, , , , -0.064537, -0.007078, -0.048811, , , 
1618796456.728301, , , , 0.053221, -0.007463, -0.025556, , , 
1618796456.789071, , , , 0.045493, -0.014199, -0.014008, , , 
1618796456.849663, , , , 0.050956, -0.020455, 0.028349, , , 
1618796456.878197, , , , 0.054951, 0.014792, 0.013413, , , 
1618796456.939645, , , , -0.021326, -0.000814, 0.043584, , , 
1618796457.001295, , , , -0.085102, 0.155065, 0.008548, , , 
1618796457.078618, , , , -0.177911, 0.242489, -0.029651, , , 
1618796457.139739, , , , -0.063332, 0.116715, -0.033112, , , 
1618796457.20246, , , , -0.141129, 0.097168, -0.041546, , , 
1618796457.278121, , , , -0.096943, 0.016801, 0.012852, , , 
1618796457.3398519, , , , -0.079693, 0.019019, 0.003526, , , 
1618796457.402957, , , , -0.098360, 0.000247, -0.002303, , , 
1618796457.478127, , , , -0.099061, 0.020642, -0.011623, , , 
1618796457.54, , , , -0.046120, 0.052800, 0.001803, , , 
1618796457.6014981, , , , -0.040401, -0.008662, -0.001666, , , 
1618796457.678028, , , , -0.101983, -0.022196, -0.001234, , , 
1618796457.741755, , , , -0.032114, -0.001420, -0.007148, , , 
1618796457.7779121, , , , -0.091592, -0.013729, 0.003446, , , 
1618796457.846558, , , , -0.092702, 0.012542, -0.000426, , , 
1618796457.9281769, , , , -0.086099, -0.004458, -0.000698, , , 
1618796458.000342, , , , -0.138689, -0.071488, 0.010248, , , 
1618796458.0781832, , , , -0.080086, -0.076905, 0.006577, , , 
1618796458.14925, , , , -0.130218, -0.081040, 0.001264, , , 
1618796458.228797, , , , -0.099106, -0.102388, -0.005221, , , 
1618796458.3001041, , , , -0.107428, -0.037591, -0.008384, , , 
1618796458.378782, , , , -0.106686, -0.055347, -0.012912, , , 
1618796458.451717, , , , -0.059606, -0.093297, -0.003510, , , 
1618796458.528755, , , , -0.010902, -0.156863, 0.003372, , , 
1618796458.597283, , , , 0.048874, 0.021104, 0.010437, , , 
1618796458.678416, , , , 0.009334, 0.008591, 0.017782, , , 
1618796458.7505178, , , , -0.029409, -0.003274, 0.019423, , , 
1618796458.828134, , , , -0.048966, 0.078096, -0.018458, , , 
1618796458.897509, , , , 0.032615, 0.075377, 0.017516, , , 
1618796458.927887, , , , -0.051374, -0.054948, 0.021257, , , 
1618796458.988478, , , , -0.001541, 0.051687, 0.004781, , , 
1618796459.053026, , , , -0.031670, 0.055462, 0.014133, , , 
1618796459.1287, , , , -0.017995, 0.029537, 0.018942, , , 
1618796459.1915379, , , , -0.007775, -0.002840, 0.008283, , , 
1618796459.228699, , , , 0.007364, -0.013177, 0.001046, , , 
1618796459.297186, , , , 0.016443, -0.020411, -0.002304, , , 
1618796459.377676, , , , 0.047742, -0.082275, 0.003921, , , 
1618796459.447434, , , , 0.058519, -0.000558, -0.013482, , , 
1618796459.477921, , , , 0.184400, 0.071312, 0.002431, , , 
1618796459.5402908, , , , 0.185844, 0.031215, -0.007539, , , 
1618796459.603479, , , , 0.041417, -0.046488, -0.014435, , , 
1618796459.678267, , , , 0.033737, -0.032692, -0.012071, , , 
1618796459.742445, , , , -0.003401, -0.031345, -0.016687, , , 
1618796459.77816, , , , 0.033033, -0.062630, -0.018773, , , 
1618796459.846324, , , , 0.037420, -0.016557, -0.032072, , , 
1618796459.9278579, , , , -0.025408, -0.058909, -0.018591, , , 
1618796460.00005, , , , 0.017591, -0.082643, 0.006560, , , 
1618796460.0777202, , , , 0.143016, -0.001616, -0.004864, , , 
1618796460.150127, , , , 0.009828, -0.027865, -0.017935, , , 
1618796460.228612, , , , 0.075773, 0.006999, -0.023820, , , 
1618796460.302689, , , , 0.502550, -0.067790, -0.051738, , , 
1618796460.378096, , , , 0.075202, 0.049399, -0.044309, , , 
1618796460.4479342, , , , 0.131094, -0.043741, -0.006034, , , 
1618796460.528131, , , , 0.042589, -0.076953, -0.007791, , , 
1618796460.598911, , , , 0.041695, -0.109907, 0.009017, , , 
1618796460.6276, , , , -0.005624, 0.022907, -0.028443, , , 
1618796460.6907902, , , , 0.129883, -0.030016, -0.020865, , , 
1618796460.754801, , , , -0.004371, 0.009054, -0.020130, , , 
1618796460.828599, , , , -0.024490, -0.017618, -0.012437, , , 
1618796460.895977, , , , -0.007308, -0.019893, -0.006206, , , 
1618796460.928012, , , , 0.018049, -0.020770, -0.004009, , , 
1618796460.991791, , , , -0.033508, -0.020422, -0.007884, , , 
1618796461.0563478, , , , -0.001512, -0.015078, -0.006625, , , 
1618796461.12845, , , , -0.067359, -0.028799, -0.002550, , , 
1618796461.1931891, , , , -0.083363, -0.039348, -0.010152, , , 
1618796461.227731, , , , -0.083494, -0.076680, 0.020654, , , 
1618796461.299714, , , , 0.068797, -0.027762, -0.004703, , , 
1618796461.377902, , , , -0.110511, -0.032841, -0.002084, , , 
1618796461.4475908, , , , -0.318940, -0.019068, 0.027541, , , 
1618796461.477725, , , , -0.427490, -0.002712, -0.001144, , , 
1618796461.539566, , , , -0.099858, -0.057723, -0.010118, , , 
1618796461.602741, , , , -0.128330, -0.031245, -0.018784, , , 
1618796461.6775022, , , , -0.084102, -0.015201, -0.006366, , , 
1618796461.741765, , , , -0.144569, -0.042549, -0.016479, , , 
1618796461.7779741, , , , -0.167659, 0.019753, -0.010708, , , 
